,note_name,octave,start_time
214,D,5,107.0
215,E,4,107.5
216,D,5,107.5
217,D,4,108.0
218,E,5,108.0
219,D,5,109.5
220,C#,5,111.0
221,E-,4,112.0
222,C,4,112.0
223,E,4,112.0
224,C,4,113.0
225,E,4,113.0
226,D,4,113.5
227,C,4,113.5
228,E,4,113.5
229,C,4,114.5
230,E,4,114.5
231,C,4,115.0
232,C#,4,115.0
233,E,4,115.0
234,D,4,115.5
235,C,4,115.5
236,E,4,115.5
237,D,4,116.0
238,C,4,116.0
239,E,4,116.0
240,C,4,116.5
241,E,4,116.5
242,C,4,117.0
243,C#,4,117.0
244,E,4,117.0
245,C,4,117.5
246,D,4,117.5
247,E,4,117.5
248,E-,4,118.0
249,C,4,118.5
250,D,4,118.5
251,E,4,118.5
252,C,4,119.0
253,C#,4,119.0
254,E,4,119.0
255,C,4,119.5
256,D,4,119.5
257,E,4,119.5
258,E-,4,120.0
259,C,4,120.0
260,E,4,120.0
261,C,4,121.0
262,E,4,121.0
263,D,4,121.5
264,C,4,121.5
265,E,4,121.5
266,C,4,122.0
267,E,4,122.0
268,C,4,122.5
269,E,4,122.5
270,C,4,123.0
271,C#,4,123.0
272,E,4,123.0
273,C,4,123.5
274,D,4,123.5
275,E,4,123.5
276,C,4,124.0
277,E,4,124.0
278,C#,4,124.5
279,C,4,125.5
280,E,4,125.5
281,C#,4,126.0
282,D,4,126.5
283,E-,4,127.0
284,C,4,127.0
285,E,4,127.0
286,C,4,127.25
287,E,4,127.25
288,D,4,127.5
289,C,4,127.5
290,E,4,127.5
291,C,4,127.75
292,E,4,127.75
293,E-,4,128.0
294,C,4,128.0
295,E,4,128.0
296,C,4,129.0
297,E,4,129.0
298,C#,4,129.5
299,C,4,129.5
300,E,4,129.5
301,C,4,130.5
302,E,4,130.5
303,C,4,131.0
304,D,4,131.0
305,E,4,131.0
306,C,4,131.5
307,E-,4,131.5
308,E,4,131.5
309,C,4,132.0
310,E,4,132.0
311,E-,4,132.5
312,C,4,132.5
313,E,4,132.5
314,D,4,132.75
315,C,4,133.0
316,C#,4,133.0
317,E,4,133.0
318,C,4,133.5
319,D,4,133.5
320,E,4,133.5
321,E-,4,134.0
322,C,4,134.5
323,D,4,134.5
324,E,4,134.5
325,C,4,135.0
326,C#,4,135.0
327,E,4,135.0
328,C,4,135.5
329,D,4,135.5
330,E,4,135.5
331,E-,4,136.0
332,C,4,136.0
333,E,4,136.0
334,C,4,137.0
335,E,4,137.0
336,C#,4,137.5
337,C,4,137.5
338,E,4,137.5
339,C,4,138.0
340,E,4,138.0
341,C,4,138.5
342,E,4,138.5
343,C#,4,139.0
344,C,4,139.0
345,E,4,139.0
346,D,4,139.25
347,E-,4,139.5
348,C,4,139.5
349,E,4,139.5
350,E-,4,140.0
351,C,4,140.0
352,E,4,140.0
353,D,4,140.5
354,C,4,140.5
355,E,4,140.5
356,C,4,141.0
357,E,4,141.0
358,C,4,141.5
359,C#,4,141.5
360,E,4,141.5
361,C,4,142.0
362,D,4,142.0
363,E,4,142.0
364,C,4,142.5
365,E-,4,142.5
366,E,4,142.5
367,E-,4,143.0
368,C,4,143.0
369,E,4,143.0
370,C,4,143.25
371,E,4,143.25
372,D,4,143.5
373,C,4,143.5
374,E,4,143.5
375,C,4,143.75
376,E,4,143.75
377,C,4,144.0
378,C#,4,144.0
379,E-,4,144.0
380,E,4,144.0
